id,author,title,journal_book,year,type,doi,link,
24,"Shao, Y., Xiao, Y., Kou, X. and Sang, W.",Sustainable land use scenarios generated by optimizing ecosystem distribution based on temporal and spatial patterns of ecosystem services in the southern China hilly region,Ecological Informatics,2023,journal,10.1016/j.ecoinf.2023.102275,https://doi.org/10.1016/j.ecoinf.2023.102275,
24,"Fitriani, N., Kurniawan, S.B., Imron, M.F., Maulana, I.I., Soedjono, E.S., Mohamed, R.M.S.R., Othman, N.B., Kusuma, M.N.",System dynamic modelling to assess the influential factors affecting roughing filter and slow sand filter performance in treating culinary wastewater.,Journal of Water Process Engineering,2023,journal,10.1016/j.jwpe.2023.104274,https://doi.org/10.1016/j.jwpe.2023.104274,
24,"Jaishanker, R., Kakkara, A.",Ecological informatics: Metamorphosing ecology to a translational discipline,Ecological Informatics,2024,journal,10.1016/j.ecoinf.2024.102525,https://doi.org/10.1016/j.ecoinf.2024.102525,
24,"Bannerjee, A., Fath, B.D., Scharler, U.M., Ray, S.",Ecological Modeling in Environmental Management: History and Applications,Treatise on Estuarine and Coastal Science (Second Edition),2024,book chapter,10.1016/B978-0-323-90798-9.00097-4,https://doi.org/10.1016/B978-0-323-90798-9.00097-4,
25,"Tang, J., Zeng, Q., Zhang, F., Yang, Q., Yan, L., Zhao, K., Zhao, B., Zhang, J., Hu, P.",Effects of dam regulation on macroinvertebrate communities in the Yarlung Zangbo River: A functional trait perspective,Journal of Environmental Management,2025,journal,10.1016/j.jenvman.2025.126565,https://doi.org/10.1016/j.jenvman.2025.126565,
25,"Sotomayor, G., Hampel, H., Vázquez, R.F., Forio, M.A.E., Goethals, P.L.",Functional diversity of benthic macroinvertebrates and fluvial habitat quality: Key biological trait categories,Ecological Informatics,2025,journal,10.1016/j.ecoinf.2025.103235,https://doi.org/10.1016/j.ecoinf.2025.103235,
25,"Linares, M.S., Macedo, D.R., Hughes, R.M. and Callisto, M.","City bug, country bug: How do benthic macroinvertebrate assemblages respond to an urbanization gradient taxonomically and functionally?",Water Biology and Security,2025,journal,10.1016/j.watbs.2024.100343,https://doi.org/10.1016/j.watbs.2024.100343,
25,"Dimaano, M.I.D., Mendoza, S.S., Uy-Yabut, C.J.C., Magbanua, F.S.","Taxonomic and functional responses of stream macroinvertebrates across a gradient of agricultural land use in the Agusan River Basin, Southern Philippines",Aquatic Ecology,2025,journal,10.1007/s10452-025-10207-9,https://doi.org/10.1007/s10452-025-10207-9,
25,"Huang, Q., Yao, N., Bao, S., Xiong, H., Ma, B., Wang, J.",Elevational variability in the effect of pressures on the taxonomic and functional diversity of macroinvertebrate assemblages,Aquatic Sciences,2025,journal,10.1007/s00027-025-01194-y,https://doi.org/10.1007/s00027-025-01194-y,
25,"Jaulin, E.",Looking at the reproduction of stream insects to improve our understanding of the ecological effects of artificial flow variation,Université Claude Bernard - Lyon I,2025,Thesis,NA,https://theses.hal.science/tel-05215045v1,
